,Asset,Start,End,Annual Return,Annual Volatility,Skewness,Kurtosis,Sharpe Ratio,Sortino Ratio,Max Drawdown,Tail Ratio,VaR
87,Healthcare,1999-01-31,2020-05-31,-1.0,1995846090064238.5,15.937499999936446,252.0039062486551,0.21608507660664478,193005346395885.44,-1.0,376869.48945242655,-1116362897754100.0
88,Cons. Discretionary,1999-01-31,2020-05-31,-1.0,2672305234585957.5,15.937499999478376,252.0039062389591,0.2160857332128553,260319930606860.2,-1.0,542296.3733661342,-1494735560213044.0
89,MLPs,2000-07-31,2020-05-31,inf,,10.677481945180462,112.00862068965478,,inf,0.0,1295.0360918854076,
90,Internet,2000-07-31,2020-05-31,,,12.806483674154494,162.00602409638563,,inf,0.0,1126249.2671464384,
91,Gold Miners,2000-07-31,2020-05-31,,,12.845465660066665,163.00598802395191,,inf,0.0,79091.89832560688,
92,Biotech,2000-07-31,2020-05-31,,,15.066246661911421,225.31432231920533,,inf,0.0,1000228.7918566739,
93,Software,2000-07-31,2020-05-31,,,14.93333333332066,221.00444444419307,,inf,0.0,2811485.6499038823,
94,Homebuilders,2000-07-31,2020-05-31,,,12.730686950265245,161.00182774231664,,inf,0.0,32362.026030425,
95,Regional Banks,2000-07-31,2020-05-31,,,12.806483674154496,162.00602409638552,,inf,0.0,143090.39569724433,
96,Agriculture,2000-07-31,2020-05-31,,,12.199391016790502,146.8854341026938,,inf,0.0,185982.0174063545,
97,Oil Services,2000-07-31,2020-05-31,,,15.09981284076351,226.0043478260871,,inf,0.0,667151718.4486707,
98,Water Resources,2000-07-31,2020-05-31,,,6.524474745965067,45.363535761523195,,inf,0.0,25350.050971567573,
99,Semiconductors,2000-07-31,2020-05-31,-1.0,53588949106.602264,15.362426958887148,234.00417537930358,0.22414801706581453,5292364558.491481,-1.0,275440.40168138413,-29938606135.71216
100,REITs,2000-07-31,2020-05-31,,,13.601667088764628,183.0053475935828,,inf,0.0,475587.819969882,
101,Metals & Mining,2000-07-31,2020-05-31,inf,,12.806483674154489,162.00602409638552,,inf,0.0,60653.80086902233,
102,Oil & Gas E&P,2000-07-31,2020-05-31,,,12.806483674154492,162.00602409638546,,inf,0.0,6330313.071993885,
103,Retail,2000-07-31,2020-05-31,,,12.806483674154496,162.0060240963856,,inf,0.0,128280.9618746989,
104,GSCI,1980-09-30,2020-05-31,-1.0,7.744886680248275e+42,21.77158930442004,472.00210084033625,0.15861031714362972,5.373713347482667e+41,-1.0,11187721427.824377,-4.369144165301518e+42
105,SSE,1928-01-31,2020-05-31,,,11.934536701778304,143.0550983382132,,inf,0.0,1.1625317580932577e+19,
106,AORD,1928-01-31,2020-05-31,,,16.871448504622414,297.481210861244,,inf,0.0,1064450241177.842,
107,SENSEX,1928-01-31,2020-05-31,,,16.458469082501317,268.9218981743496,,inf,0.0,28279747141535.04,
108,CAC40,1928-01-31,2020-05-31,,,18.947195279068776,356.99840324930864,,inf,0.0,226142918376.23056,
109,FTSE100,1928-01-31,2020-05-31,,,19.45742657143515,388.57903567867453,,inf,0.0,186639150703.09567,
110,DAX,1928-01-31,2020-05-31,,,19.646948295335527,384.00257731958754,,inf,0.0,2105493442567.995,
111,S&P500,1928-01-31,2020-05-31,-1.0,2.474578783203236e+24,32.57780228867963,1071.6233865767056,0.11593091918903985,1.2667229295450965e+23,-1.0,58322075.34779972,-1.404792043868121e+24
112,TSX,1928-01-31,2020-05-31,,,22.090768226033408,486.00204081632626,,inf,0.0,1240825771237.0044,
113,HSI,1928-01-31,2020-05-31,,,19.95000000000001,396.00250000000034,,inf,0.0,1.327281679185439e+16,
114,NASDAQ,1928-01-31,2020-05-31,,,24.248746254502606,586.0016949152543,,inf,0.0,7732159364.420363,
115,KOSPI,1928-01-31,2020-05-31,,,16.462117281855665,269.00209564017365,,inf,0.0,3084525958226.007,
116,NIKKEI,1928-01-31,2020-05-31,,,12.131088145056959,156.31095498385025,,inf,0.0,2948054324906.686,
117,Materials,1999-01-31,2020-05-31,-1.0,21962312635882.125,15.937499987020068,252.00390597525436,0.21608979106860504,2150214081681.5505,-1.0,95340.43430878491,-12284461149947.336
118,Communications,1999-01-31,2020-05-31,,,4.47721504346782,18.045454545454557,,inf,0.0,2.801779663381066e+20,
119,Energy,1999-01-31,2020-05-31,-1.0,28889728402834.402,15.937499171043351,252.00388870157278,0.21612507220062271,2761456910300.492,-1.0,120519.60352455913,-16159176250448.373
120,Financials,1999-01-31,2020-05-31,-1.0,507969401234.42957,15.937499026431928,252.00388564003677,0.21612842724140605,50703236301.804085,-1.0,7372.016669167348,-284127384894.82794
121,Industrials,1999-01-31,2020-05-31,-1.0,200112882129867.6,15.937499993310754,252.00390610840947,0.2160883447686058,19554700382022.094,-1.0,147266.48836731404,-111931721243797.73
122,Technology,1999-01-31,2020-05-31,-1.0,1.0182893158926427e+17,15.93749999999998,252.00390624999983,0.2160847304937497,9916907574546310.0,-1.0,159103.92837543538,-5.6957321294442664e+16
123,Cons. Staples,1999-01-31,2020-05-31,-1.0,128291687538242.23,15.937499991617813,252.00390607257492,0.21608877531177823,12606292688183.643,-1.0,105590.00610813059,-71759040864760.52
124,Real Estate,1999-01-31,2020-05-31,,,5.32072377885051,27.837621980911955,,inf,0.0,168787.8086290564,
125,Utilities,1999-01-31,2020-05-31,-1.0,28481015589661.4,15.937499981608298,252.0039058607019,0.2160907507652108,2776822642009.95,-1.0,52616.730828273896,-15930648347374.47
126,Healthcare,1999-01-31,2020-05-31,-1.0,1995846090064238.5,15.937499999936446,252.0039062486551,0.21608507660664478,193005346395885.44,-1.0,376869.48945242655,-1116362897754100.0
127,Cons. Discretionary,1999-01-31,2020-05-31,-1.0,2672305234585957.5,15.937499999478376,252.0039062389591,0.2160857332128553,260319930606860.2,-1.0,542296.3733661342,-1494735560213044.0
128,MLPs,2000-07-31,2020-05-31,inf,,10.677481945180462,112.00862068965478,,inf,0.0,1295.0360918854076,
129,Internet,2000-07-31,2020-05-31,,,12.806483674154494,162.00602409638563,,inf,0.0,1126249.2671464384,
130,Gold Miners,2000-07-31,2020-05-31,,,12.845465660066665,163.00598802395191,,inf,0.0,79091.89832560688,
131,Biotech,2000-07-31,2020-05-31,,,15.066246661911421,225.31432231920533,,inf,0.0,1000228.7918566739,
132,Software,2000-07-31,2020-05-31,,,14.93333333332066,221.00444444419307,,inf,0.0,2811485.6499038823,
133,Homebuilders,2000-07-31,2020-05-31,,,12.730686950265245,161.00182774231664,,inf,0.0,32362.026030425,
134,Regional Banks,2000-07-31,2020-05-31,,,12.806483674154496,162.00602409638552,,inf,0.0,143090.39569724433,
135,Agriculture,2000-07-31,2020-05-31,,,12.199391016790502,146.8854341026938,,inf,0.0,185982.0174063545,
136,Oil Services,2000-07-31,2020-05-31,,,15.09981284076351,226.0043478260871,,inf,0.0,667151718.4486707,
137,Water Resources,2000-07-31,2020-05-31,,,6.524474745965067,45.363535761523195,,inf,0.0,25350.050971567573,
138,Semiconductors,2000-07-31,2020-05-31,-1.0,53588949106.602264,15.362426958887148,234.00417537930358,0.22414801706581453,5292364558.491481,-1.0,275440.40168138413,-29938606135.71216
139,REITs,2000-07-31,2020-05-31,,,13.601667088764628,183.0053475935828,,inf,0.0,475587.819969882,
140,Metals & Mining,2000-07-31,2020-05-31,inf,,12.806483674154489,162.00602409638552,,inf,0.0,60653.80086902233,
141,Oil & Gas E&P,2000-07-31,2020-05-31,,,12.806483674154492,162.00602409638546,,inf,0.0,6330313.071993885,
142,Retail,2000-07-31,2020-05-31,,,12.806483674154496,162.0060240963856,,inf,0.0,128280.9618746989,
143,GSCI,1980-09-30,2020-05-31,-1.0,7.744886680248275e+42,21.77158930442004,472.00210084033625,0.15861031714362972,5.373713347482667e+41,-1.0,11187721427.824377,-4.369144165301518e+42
144,Brent Crude,1970-05-31,2020-05-31,,,23.62206141966204,556.0017857142857,,inf,-1.0,inf,
145,Ethanol,1970-05-31,2020-05-31,inf,,8.291254288699337,82.06844652260723,,inf,0.0,44.36646226292142,
146,Natural Gas,1970-05-31,2020-05-31,inf,,13.369983022736005,190.2095107858683,,inf,0.0,274.8154124945594,
147,Gasoline,1970-05-31,2020-05-31,inf,,12.806332336779809,164.25375010077104,,inf,0.0,97.24751046027079,
148,WTI Crude,1970-05-31,2020-05-31,,,21.047618563414982,441.00224719101107,,inf,0.0,600513.9214813381,
