Date,MLPs,Internet,Gold Miners,Biotech,Software,Homebuilders,Regional Banks,Agriculture,Oil Services,Water Resources,Semiconductors,REITs,Metals & Mining,Oil & Gas E&P,Retail
12/06/2014,11.48526096,57.38999939,23.12573814,81.69763947,80.74932098,23.33337402,35.52515793,47.97038269,957.6731567,25.80472183,43.98122406,57.81104279,35.7878418,295.8203735,38.78928375
13/06/2014,11.50400734,58,23.20272636,81.61850739,81.54182434,23.23610878,35.43618011,47.89986801,968.0178223,25.88223457,44.69472885,57.95902634,36.32479095,299.23172,39.00066757
16/06/2014,11.59148884,58.02000046,23.07762146,81.91519165,82.17780304,23.42091179,35.23154449,47.97919846,966.4396973,25.76595879,44.87768173,57.66301727,36.18159866,300.010376,39.30855942
17/06/2014,11.55399895,58.49000168,23.21235085,81.67783356,83.15625,23.49871445,35.87211227,48.18194199,965.5630493,25.93069077,45.06977081,57.81104279,36.56641388,300.5294495,39.64861679
18/06/2014,11.48526096,59.18000031,23.82826805,82.36682129,84.09550476,23.54734802,36.11234283,48.76371765,973.803772,26.08573341,44.98744583,58.21605301,37.27340698,303.7553406,39.91054535
19/06/2014,11.6414814,58.72999954,25.10821724,82.59757233,84.02702332,23.57652855,35.93439484,48.71964264,977.6611328,26.07604027,45.15209961,58.69899368,37.70295715,306.8330383,39.72673798
20/06/2014,11.59148884,58.52999878,24.84838104,84.27220154,83.64543152,23.48899078,36.11932755,48.67557144,991.8632202,26.30546188,45.15209961,58.90151596,37.5233345,309.478241,39.73411179
23/06/2014,11.69147301,59,25.28144264,83.37226868,84.02702332,23.50844383,35.90491486,48.92238235,992.9152222,26.15964127,45.00574112,58.66003799,37.70296097,310.0355835,39.78019333
24/06/2014,11.72896481,58.72000122,24.5115509,84.2194519,83.5109787,23.71286583,35.59223175,48.43756866,972.050415,25.89717102,44.71302032,58.70328522,36.97548294,298.1096497,39.5037117
25/06/2014,11.77895546,59.31999969,24.79063988,84.48126984,83.88304901,23.86861801,35.84238052,48.64912415,990.8112183,25.82912064,45.01488495,58.58535767,37.35269547,302.8651123,39.68341446
26/06/2014,11.79145241,59.29000092,24.97348404,84.6463623,83.74597931,23.77127647,35.89598465,48.49927521,996.071106,25.74163055,44.79534531,58.53031921,37.67602921,302.1221008,39.66038513
27/06/2014,11.82269669,59.45999908,25.00235939,84.76191711,84.08872223,23.99515915,36.02999496,48.49045563,1005.363831,25.89717102,44.94171143,58.9784317,37.66702652,303.5338745,39.88156891
