Date,CONS,NGDP,MONEY,PRICE,SHORT,LONG,URATE,WAGE,INVEST
2001-01-01,149756000000.00000,178092000000.000000,454100000000.000000,68.63245878801950,5.54666666666667,5.28580266933333,6.36666410000000,655.400000000000,52692000000.000000
2001-04-01,150765000000.00000,179828000000.000000,468400000000.000000,69.18969120037150,4.90666666666667,5.80581682766667,6.86926060000000,662.500000000000,53346000000.000000
2001-07-01,151277000000.00000,183609000000.000000,480300000000.000000,69.37543533782210,4.84666666666667,5.80871179166667,6.86695723333333,669.500000000000,55445000000.000000
2001-10-01,152491000000.00000,186243000000.000000,498200000000.000000,70.02553981889950,4.29666666666667,5.56072602466667,6.97907586666667,675.200000000000,57633000000.000000
2002-01-01,154381000000.00000,190403000000.000000,514400000000.000000,70.67564429997680,4.34333333333333,6.03769444433333,6.62627310000000,681.100000000000,59043000000.000000
2002-04-01,156780000000.00000,193751000000.000000,496900000000.000000,71.14000464360340,4.83333333333333,6.17228299000000,6.40460693333333,686.600000000000,62405000000.000000
2002-07-01,158833000000.00000,196405000000.000000,515600000000.000000,71.60436498723010,4.95333333333333,5.64796866200000,6.27968326666667,693.100000000000,63319000000.000000
2002-10-01,159406000000.00000,199684000000.000000,532900000000.000000,72.06872533085670,4.85666666666667,5.51788474833333,6.15703500000000,701.300000000000,66925000000.000000
2003-01-01,160193000000.00000,201936000000.000000,549200000000.000000,72.99744601811000,4.77000000000000,5.23813888900000,6.05549583333334,709.900000000000,67360000000.000000
2003-04-01,161289000000.00000,203800000000.000000,564800000000.000000,72.99744601811000,4.74666666666667,5.05899481666667,6.05122886666667,724.800000000000,66396000000.000000
2003-07-01,163397000000.00000,208613000000.000000,577100000000.000000,73.46180636173670,4.81666666666667,5.42327608366667,5.90634820000000,727.500000000000,68600000000.000000
2003-10-01,167021000000.00000,213659000000.000000,595200000000.000000,73.83329463663800,5.25000000000000,5.74669220133333,5.70819026666667,742.400000000000,72260000000.000000
2004-01-01,170265000000.00000,217834000000.000000,612100000000.000000,74.48339911771540,5.54333333333333,5.57881159433333,5.53705733333333,745.200000000000,73007000000.000000
2004-04-01,171274000000.00000,220965000000.000000,622700000000.000000,74.85488739261660,5.51333333333333,5.86885714266667,5.43589130000000,745.100000000000,73195000000.000000
2004-07-01,173406000000.00000,224298000000.000000,631300000000.000000,75.13350359879260,5.44000000000000,5.57098484866667,5.47852573333333,753.400000000000,73345000000.000000
2004-10-01,175633000000.00000,228213000000.000000,648100000000.000000,75.69073601114460,5.41666666666667,5.34444444433333,5.11752366666667,763.900000000000,75838000000.000000
2005-01-01,175127000000.00000,232476000000.000000,659600000000.000000,76.24796842349660,5.62000000000000,5.46740371766667,5.10713896666667,778.300000000000,75686000000.000000
2005-04-01,178330000000.00000,237294000000.000000,678400000000.000000,76.71232876712330,5.69666666666667,5.30006782100000,5.05743530000000,788.300000000000,79688000000.000000
